Company,Peak Date,Peak Price,Status,Category,Sector,Industry,Market Cap (Cr),Market Cap Category
RELIANCE,2021-10-19,1260.75,New ATH,0,Energy,Conglomerates & Oil & Gas,1876820.0,Large Cap
HDFCBANK,2021-10-19,1688.7,New ATH,0,Financial Services,Banks – Private,1540880.0,Large Cap
BHARTIARTL,2021-11-12,743.5,New ATH,0,Telecommunication,Telecom Services,1135288.0,Large Cap
ICICIBANK,2021-10-25,841.7,New ATH,0,Financial Services,Banks – Private,1062783.0,Large Cap
SBIN,2021-11-04,530.45,New ATH,0,Financial Services,Banks – Public,735864.0,Large Cap
INFY,2021-10-19,1822.15,New ATH,0,Technology,IT Services,629871.0,Large Cap
LT,2021-11-12,1959.95,New ATH,0,Capital Goods,Engineering & Construction,470614.0,Large Cap
KOTAKBANK,2021-10-26,2210.95,New ATH,0,Financial Services,Banks – Private,390774.0,Large Cap
ULTRACEMCO,2021-11-08,8214.05,New ATH,0,Materials,Cement & Cement Products,360461.0,Large Cap
AXISBANK,2021-10-25,845.1,New ATH,0,Financial Services,Banks – Private,332657.0,Large Cap
BAJAJFINSV,2021-10-19,1907.66,New ATH,0,Financial Services,NBFC – Housing Finance,316535.0,Large Cap
HAL,2021-10-18,740.2,New ATH,0,Defense & Aerospace,Defence Manufacturing,301380.0,Large Cap
TITAN,2021-10-18,2588.8,New ATH,0,Consumer Goods,Luxury Goods & Watches,300749.0,Large Cap
ADANIENT,2021-11-12,1705.2,New ATH,0,Conglomerates,Industrial Conglomerates,291321.0,Large Cap
BEL,2021-11-12,74.53,New ATH,0,Defense & Aerospace,Defence Manufacturing,284606.0,Large Cap
POWERGRID,2021-10-14,153.49,New ATH,0,Utilities,Power Transmission & Distribution,272834.0,Large Cap
WIPRO,2021-10-19,355.77,New ATH,0,Technology,IT Services,261970.0,Large Cap
DMART,2021-10-14,5323.75,New ATH,0,Consumer Services,Retail – Supermarkets & Hypermarkets,256878.0,Large Cap
INDIGO,2021-11-12,2306.25,New ATH,0,Transportation,Airlines,222837.0,Large Cap
DLF,2021-11-08,442.2,New ATH,0,Real Estate,Real Estate Development,194949.0,Large Cap
GRASIM,2021-11-10,1867.03,New ATH,0,Materials,Cement & Cement Products,185400.0,Large Cap
HINDZINC,2021-10-18,387.65,New ATH,0,Metals & Mining,Zinc & Zinc Products,182553.0,Large Cap
DIVISLAB,2021-10-14,5372.15,New ATH,0,Healthcare,Pharmaceuticals,174845.0,Large Cap
VEDL,2021-10-18,374.75,New ATH,0,Metals & Mining,Oil & Gas Exploration & Production,171314.0,Large Cap
VBL,2021-11-08,133.99,New ATH,0,Consumer Goods,FMCG – Beverages,164580.0,Large Cap
HINDALCO,2021-10-18,542.8,New ATH,0,Metals & Mining,Aluminum & Copper,154619.0,Large Cap
BAJAJHLDNG,2021-11-10,5073.0,New ATH,0,Financial Services,Financial Holdings & Investments,152991.0,Large Cap
LTIM,2021-11-12,7243.25,New ATH,0,Technology,IT Services,149375.0,Large Cap
PIDILITIND,2021-10-18,2501.8,New ATH,0,Consumer Goods,FMCG – Household & Personal Care,146216.0,Large Cap
TECHM,2021-11-12,1585.0,New ATH,0,Technology,IT Services,142000.0,Large Cap
SOLARINDS,2021-10-19,2715.15,New ATH,0,Energy,Renewable Energy – Solar,130801.0,Large Cap
TATAPOWER,2021-10-18,257.3,New ATH,0,Utilities,Power Generation & Distribution,127542.0,Large Cap
CHOLAFIN,2021-11-12,662.4,New ATH,0,Financial Services,Non-Banking Financial Company (NBFC),125453.0,Large Cap
CHOLAFIN,2021-11-12,662.4,New ATH,0,Financial Services,Non-Banking Financial Company (NBFC),125453.0,Large Cap
LODHA,2021-11-12,626.8,New ATH,0,Real Estate,Real Estate Development,119923.0,Large Cap
SHRIRAMFIN,2021-11-08,332.94,New ATH,0,Financial Services,Non-Banking Financial Company (NBFC),119178.0,Large Cap
ABB,2021-11-12,2211.3,New ATH,0,Capital Goods,Engineering & Electrical Equipment,117601.0,Large Cap
MAZDOCK,2021-11-09,155.98,New ATH,0,Shipping & Logistics,Port & Shipping Services,112539.0,Large Cap
SIEMENS,2021-11-09,2408.5,New ATH,0,Capital Goods,Electrical Equipment & Power Distribution,109078.0,Large Cap
MUTHOOTFIN,2021-11-12,1691.35,New ATH,0,Financial Services,Non-Banking Financial Company (NBFC),106196.0,Large Cap
CGPOWER,2021-11-04,164.75,New ATH,0,Capital Goods,Power Equipment & Electricals,103770.0,Large Cap
POLYCAB,2021-10-14,2563.15,New ATH,0,Capital Goods,Electrical Cables & Wires,102893.0,Large Cap
DIXON,2021-10-18,5753.45,New ATH,0,Consumer Goods,Consumer Electronics & Appliances,101301.0,Large Cap
HAVELLS,2021-10-14,1474.1,New ATH,0,Capital Goods,Electrical Equipment,94487.0,Large Cap
NAUKRI,2021-10-18,1403.9,New ATH,0,Technology,Internet & IT Services,91382.0,Large Cap
NHPC,2021-10-18,35.5,New ATH,0,Energy,Renewable Energy – Power Generation,84077.0,Large Cap
OFSS,2021-10-19,4944.0,New ATH,0,Technology,IT Software & Services,75329.0,Large Cap
RVNL,2021-10-22,43.05,New ATH,0,Infrastructure,Railways & Logistics,73934.0,Large Cap
PRESTIGE,2021-11-09,514.85,New ATH,0,Real Estate,Real Estate Development,69383.0,Large Cap
