SYMBOL,AVG_TTL_TRD_QNTY,AVG_DELIV_QTY
ANUP,21917.3,10741.2
ANURAS,98746.4,64641.4
ANYA,105000.0,75000.0
AONELIQUID,27585.1,24002.9
AONENIFTY,203485.3,153721.0
AONETOTAL,532940.8,305238.7
APARINDS,205127.9,51748.2
APCOTEXIND,49504.7,21023.7
APEX,85534.3,32202.6
APEXECO,6400.0,4800.0
APLAPOLLO,1004938.9,557786.0
APLLTD,86127.6,34354.6
APOLLO,4954008.8,1470646.3
APOLLOHOSP,333181.6,228902.2
APOLLOPIPE,120100.8,64660.5
APOLLOTYRE,761614.4,308802.3
APOLSINHOT,1654.9,862.3
APRAMEYA,15000.0,15000.0
APS,29250.0,28500.0
APTUS,1233634.7,798439.7
ARABIAN,10000.0,10000.0
ARCHIDPLY,105261.6,27976.0
ARE&M,624416.6,277625.5
ARFIN,271369.0,99670.29
ARHAM,5000.0,4000.0
ARIES,102084.5,42849.8
ARIHANTACA,400.0,400.0
ARIHANTCAP,1721597.8,479662.8
ARIHANTSUP,69653.6,27089.7
ARISINFRA,742173.7,342467.7
ARISTO,1600.0,1600.0
ARKADE,1414407.6,494507.9
ARMANFIN,21947.9,12169.8
AROGRANITE,14052.4,9384.9
ARROWGREEN,51867.67,32325.33
ARTEMISMED,99889.8,49467.7
ARUNAYA,50000.0,48000.0
ARVEE,1173.6,629.3
ARVIND,438869.0,166484.6
ARVINDFASN,1212829.0,444682.5
ARVINDPORT,3000.0,3000.0
ARVSMART,245851.4,94093.9
ASAHIINDIA,282922.9,108059.2
ASAL,76344.1,24321.7
ASALCBR,43991.4,28700.7
ASHALOG,7000.0,7000.0
ASHAPURMIN,742244.9,309873.7
ASHIANA,29163.1,14979.7
ASHOKA,549149.5,262273.7
ASHOKAMET,139725.6,50975.2
ASHOKLEY,7276051.4,4513795.4
ASIANENE,605309.3,115003.1
ASIANHOTNR,3200.0,2447.0
ASIANPAINT,726655.9,353751.1
ASKAUTOLTD,186564.9,90765.5
ASMS,219338.5,136078.8
ASPINWALL,4662.3,2600.6
ASPIRE,2000.0,2000.0
ASTEC,43936.3,19727.8
ASTERDM,687780.8,343447.3
ASTRAL,569414.6,298521.1
ASTRAMICRO,239876.4,126155.9
ASTRAZEN,24783.1,7977.5
ASTRON,20674.3,14792.5
ATAM,14682.5,9829.5
ATCENERGY,116400.0,46800.0
ATGL,484933.4,153415.9
ATHERENERG,766103.6,296076.0
ATL,287543.6,169481.2
ATLANTAA,30151.7,18733.9
ATMASTCO,127600.0,80800.0
ATUL,46907.0,16529.0
ATULAUTO,63681.2,26630.6
AUBANK,3353673.4,1745284.1
AURDIS,9375.0,8750.0
AURIONPRO,159093.2,89671.8
AUROIMPEX,6400.0,6400.0
AUROPHARMA,694846.2,322311.1
AURUM,357307.6,128355.6
AUSL,902000.0,370000.0
AUTOAXLES,26039.5,14096.0
AUTOBEES,298578.9,229194.1
AUTOIETF,715953.0,505675.0
AUTOIND,40916.9,22174.1
AVADHSUGAR,30188.9,18134.2
AVALON,176559.8,101147.5
AVANTEL,1243949.1,547585.5
AVANTIFEED,379811.6,158769.5
AVG,35347.6,22315.9
AVIANSH,15000.0,15000.0
AVL,107665.4,67636.1
AVONMORE,239135.7,144564.7
AVPINFRA,53600.0,33600.0
AVROIND,39702.7,22475.3
AVSL,4000.0,4000.0
AVTNPL,303905.9,116412.1
AWFIS,319397.4,195228.0
AWHCL,64329.3,33740.9
AWL,6568158.1,2760574.5
AXISBANK,13084541.8,9243737.6
AXISBNKETF,11427.4,11249.6
AXISBPSETF,642550.1,631629.3
AXISCETF,1983.4,1482.5
AXISGOLD,709237.8,620454.9
AXISHCETF,4287.0,2858.8
AXISILVER,284928.2,253171.6
AXISNIFTY,6013.9,4816.7
AXISTECETF,5071.2,3835.5
AXISVALUE,31043.2,28419.9
AXITA,3692526.0,940711.2
AXSENSEX,3900.5,3632.1
AYMSYNTEX,41451.3,30338.8
AZAD,136350.6,67851.2
BABAFP,3200.0,3200.0
BAFNAPH,4115.0,2859.1
BAGFILMS,106695.9,68049.2
BAHETI,30750.0,25125.0
BAIDFIN,377998.2,224519.0
BAJAJ-AUTO,278705.0,153175.3
BAJAJCON,1276894.6,542372.2
BAJAJELEC,32300.2,15978.4
BAJAJFINSV,1255868.1,547788.8
BAJAJHCARE,254391.4,95632.4
BAJAJHFL,5127223.1,2884498.8
BAJAJHIND,5801222.3,2176076.7
BAJAJHLDNG,45344.5,28619.3
BAJAJINDEF,46929.0,23177.0
BAJFINANCE,9306453.4,4879607.0
BALAJEE,289837.5,159146.5
BALAJIPHOS,6000.0,6000.0
