SYMBOL,AVG_DELIV_QTY,NEW_DELIV_QTY,PCT_DEVIATION
CHEVIOT,1310.3,2513,91.79
CHOICEIN,270029.7,467941,73.29
CHOLAFIN,907707.0,1699094,87.19
CIEINDIA,160005.9,72769,-54.52
CIGNITITEC,38076.9,295688,676.55
CINELINE,16739.4,89985,437.56
CLSEL,64552.3,17463,-72.95
CMSINFO,198704.3,388710,95.62
COFFEEDAY,1305988.9,572634,-56.15
COFORGE,717244.4,4600353,541.39
COHANCE,157611.8,54479,-65.43
COLPAL,433086.5,800349,84.8
COMMOIETF,124890.4,10845,-91.32
COMPUSOFT,34203.1,11886,-65.25
CONSOFINVT,3806.8,5970,56.82
CONTROLPR,49926.6,16480,-66.99
CORALFINAC,36481.4,62287,70.74
COROMANDEL,252046.4,472478,87.46
CPCAP,2977.2,1298,-56.4
CRAFTSMAN,25099.7,9246,-63.16
CREATIVE,13783.6,4961,-64.01
CRISIL,19394.3,9410,-51.48
CRIZAC,2595274.4,647086,-75.07
CUB,634387.2,959536,51.25
CYIENT,174449.3,278766,59.8
DABUR,1211319.2,2710762,123.79
DAMCAPITAL,188475.4,961385,410.09
DAMODARIND,4802.4,24676,413.83
DATAMATICS,207214.0,808311,290.09
DBOL,118807.62,53036,-55.36
DCM,79114.1,11171,-85.88
DCMSHRIRAM,52787.9,112809,113.7
DCW,443171.4,2405730,442.84
DECCANCE,100117.2,40368,-59.68
DEEPAKFERT,105176.9,47254,-55.07
DEN,654891.1,258052,-60.6
DENORA,4192.0,940,-77.58
DEVYANI,2325844.8,254374,-89.06
DHANUKA,35277.3,13187,-62.62
DIACABS,1495544.6,569797,-61.9
DIAMINESQ,6972.5,3017,-56.73
DIAMONDYD,17208.9,35354,105.44
DIFFNKG,235788.3,57149,-75.76
DIGIDRIVE,16006.8,7287,-54.48
DISHTV,3112491.33,859302,-72.39
DIVGIITTS,5593.6,10922,95.26
DIVOPPBEES,38742.0,67751,74.88
DJML,15914.3,7049,-55.71
DLF,1282877.1,569377,-55.62
DLINKINDIA,88702.5,40179,-54.7
DMCC,123950.6,60853,-50.91
DODLA,106676.2,12764,-88.03
DOLLAR,52373.3,21039,-59.83
DOMS,43512.2,134519,209.15
DPWIRES,5710.4,2773,-51.44
DRREDDY,579709.9,1110868,91.62
DTIL,6080.2,1492,-75.46
DVL,11497.7,19465,69.29
E2E,28674.2,10058,-64.92
EBANKNIFTY,775.0,285,-63.23
EBBETF0430,20624.6,1457,-92.94
EBBETF0431,14094.3,1933,-86.29
ECAPINSURE,41742.3,74056,77.41
ECLERX,31886.7,14591,-54.24
EIEL,2875908.8,1223687,-57.45
EKC,106289.6,558762,425.7
ELDEHSG,537.0,224,-58.29
ELECON,368871.9,180625,-51.03
ELECTCAST,924074.2,1863176,101.63
ELLEN,396977.8,137111,-65.46
EMCURE,148794.1,62466,-58.02
EMMBI,12342.1,27100,119.57
EMULTIMQ,32111.0,90455,181.69
ENTERO,44554.0,69564,56.13
EPIGRAL,39942.1,104412,161.41
EQUAL200,49247.5,155903,216.57
