SYMBOL,AVG_TTL_TRD_QNTY,NEW_TTL_TRD_QNTY,PCT_DEVIATION
CAPITALSFB,304659.9,45242,-85.15
CARBORUNIV,155647.4,40421,-74.03
CARRARO,138702.3,37152,-73.21
CASHIETF,343383.4,105343,-69.32
CCCL,386389.4,158681,-58.93
CCHHL,70851.9,27684,-60.93
CCL,158857.5,270449,70.25
CEATLTD,240991.7,110763,-54.04
CELEBRITY,125039.0,50456,-59.65
CELLO,94523.4,149745,58.42
CENTEXT,327843.3,81375,-75.18
CENTUM,10759.9,5221,-51.48
CERA,28235.7,13986,-50.47
CESC,2279749.4,6059279,165.79
CEWATER,179385.4,61512,-65.71
CHALET,227416.4,89183,-60.78
CHAMBLFERT,1396878.0,7493748,436.46
CHEMCON,224985.2,1605907,613.78
CHEMPLASTS,154952.0,76806,-50.43
CHENNPETRO,3217812.3,1130795,-64.86
CHOLAFIN,1496617.7,6484530,333.28
CLEAN,196022.2,58263,-70.28
CMSINFO,479327.9,812311,69.47
COHANCE,163285.7,410439,151.36
COMPUSOFT,48916.4,93231,90.59
COMSYN,228963.9,399720,74.58
CONCOR,675962.6,1017629,50.55
CONTROLPR,98613.6,34438,-65.08
CORDSCABLE,52226.9,143269,174.32
CPCAP,4772.7,2037,-57.32
CRAFTSMAN,114878.0,54212,-52.81
CREATIVE,31685.8,12363,-60.98
CREDITACC,997023.6,302793,-69.63
CROWN,24059.5,9721,-59.6
CSBBANK,288860.7,494960,71.35
CUB,1149539.9,2145952,86.68
CUPID,8483298.5,2946445,-65.27
CYBERMEDIA,30335.6,61155,101.59
CYBERTECH,84183.33,29865,-64.52
CYIENTDLM,233148.4,78374,-66.38
DALBHARAT,514584.5,203797,-60.4
DATAMATICS,1749457.0,552273,-68.43
DBCORP,159643.8,70436,-55.88
DBSTOCKBRO,23539.6,7673,-67.4
DCBBANK,1598146.8,6728106,320.99
DCMNVL,16964.7,5825,-65.66
DCW,2007695.2,975230,-51.43
DEEPAKNTR,80115.6,148957,85.93
DELHIVERY,2617430.7,6815743,160.4
DEN,836180.9,385509,-53.9
DENORA,10923.0,64662,491.98
DENTA,2048460.8,364617,-82.2
DEVIT,59172.0,24784,-58.12
DEVYANI,2223382.8,698090,-68.6
DHANBANK,1262746.0,563292,-55.39
DHANUKA,98468.8,224659,128.15
DIAMONDYD,49337.4,91581,85.62
DICIND,1592.6,2494,56.6
DIGIDRIVE,18161.1,217876,1099.69
DIGISPICE,78961.6,38676,-51.02
DIGITIDE,1612191.2,541852,-66.39
DISHTV,3403533.75,1431558,-57.94
DIVGIITTS,9534.6,4758,-50.1
DIXON,359654.5,561218,56.04
DMCC,139514.3,38858,-72.15
DNAMEDIA,143197.7,280889,96.15
DODLA,201935.5,41867,-79.27
DPWIRES,7302.6,20177,176.3
DTIL,4977.0,1578,-68.29
DYNPRO,111487.4,25755,-76.9
EBBETF0430,13089.0,3632,-72.25
EBBETF0431,18945.6,1731,-90.86
EBBETF0433,4308.3,2004,-53.49
EBGNG,26545484.0,6334211,-76.14
ECAPINSURE,54519.3,21422,-60.71
ECLERX,151675.6,60394,-60.18
ECOSMOBLTY,558183.4,118627,-78.75
EGOLD,180071.6,86676,-51.87
EIEL,9664258.3,2566164,-73.45
EIHAHOTELS,20344.8,7493,-63.17
EIMCOELECO,12326.2,5744,-53.4
ELECTHERM,14997.9,1692,-88.72
ELGIEQUIP,1335486.3,248844,-81.37
EMAMILTD,378866.3,4583207,1109.72
EMBDL,3653048.4,6546896,79.22
EMIL,755866.7,304323,-59.74
EMKAY,21159.1,9970,-52.88
EMSLIMITED,362144.3,133757,-63.07
EPACK,606669.7,4305003,609.61
EQUAL200,70050.8,22803,-67.45
EQUAL50,3447.4,213,-93.82
ESAFSFB,443484.5,184639,-58.37
ESCORTS,83396.9,41565,-50.16
ESG,20738.1,7464,-64.01
ESTER,148457.4,462388,211.46
ETERNAL,67851267.9,32474675,-52.14
ETHOSLTD,27086.3,11698,-56.81
