SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
CIGNITITEC, EQ, 23-Jul-2025,1742.7,1754.9,1770.0,1731.0,1770.0,1742.2,1741.44,50614.0,881.41,4491.0, 30992, 61.23
CINELINE, EQ, 23-Jul-2025,90.14,91.1,91.95,90.0,90.0,90.66,91.33,22346.0,20.41,379.0, 12057, 53.96
CIPLA, EQ, 23-Jul-2025,1464.4,1465.3,1476.5,1462.4,1472.8,1473.5,1469.44,1268156.0,18634.76,54502.0, 965658, 76.15
CLEAN, EQ, 23-Jul-2025,1298.7,1301.6,1314.8,1288.3,1304.0,1304.8,1303.52,92691.0,1208.25,9214.0, 42873, 46.25
CLEDUCATE, EQ, 23-Jul-2025,93.35,94.95,95.7,92.9,93.78,94.09,93.94,27844.0,26.16,820.0, 15959, 57.32
CLSEL, EQ, 23-Jul-2025,341.6,343.0,344.35,332.95,336.0,335.4,335.63,91001.0,305.43,2786.0, 46636, 51.25
CMSINFO, EQ, 23-Jul-2025,516.55,518.8,519.3,499.95,500.0,501.55,505.89,195523.0,989.14,14955.0, 93227, 47.68
COALINDIA, EQ, 23-Jul-2025,389.1,389.4,392.45,388.85,390.9,390.75,390.77,3670943.0,14344.92,61051.0, 2411137, 65.68
COASTCORP, EQ, 23-Jul-2025,36.03,36.14,37.5,35.86,36.9,36.52,36.61,67388.0,24.67,699.0, 40578, 60.22
COCHINSHIP, EQ, 23-Jul-2025,1840.1,1849.3,1876.4,1823.6,1871.9,1870.7,1850.99,939802.0,17395.65,51752.0, 252591, 26.88
COFFEEDAY, EQ, 23-Jul-2025,37.92,37.99,38.25,36.5,37.2,37.31,37.58,835301.0,313.87,2560.0, 439773, 52.65
COFORGE, EQ, 23-Jul-2025,1858.4,1867.7,1869.1,1839.0,1846.2,1849.7,1851.32,1602723.0,29671.56,129561.0, 865883, 54.03
COHANCE, EQ, 23-Jul-2025,1064.9,1065.1,1066.0,1029.1,1036.5,1043.5,1050.13,135331.0,1421.15,15978.0, 76909, 56.83
