SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 18-Jul-2025, 107.51, 108.30, 108.30, 108.30, 108.30, 108.30, 108.30, 205, 0.22, 13, 205, 100.00
20MICRONS, EQ, 18-Jul-2025, 255.01, 256.88, 273.00, 251.00, 264.60, 264.99, 265.58, 1441882, 3829.31, 27753, 329612, 22.86
21STCENMGM, EQ, 18-Jul-2025, 59.17, 59.17, 60.35, 58.34, 59.85, 59.72, 59.86, 7627, 4.57, 196, 6013, 78.84
360ONE, EQ, 18-Jul-2025, 1205.60, 1214.00, 1227.00, 1184.00, 1194.70, 1202.20, 1203.25, 1678716, 20199.21, 68931, 741422, 44.17
3IINFOLTD, EQ, 18-Jul-2025, 25.63, 25.73, 25.83, 25.05, 25.06, 25.16, 25.38, 577779, 146.64, 1623, 301204, 52.13
3MINDIA, EQ, 18-Jul-2025, 30000.00, 30100.00, 30135.00, 29715.00, 29885.00, 29900.00, 29955.59, 3384, 1013.70, 1564, 1763, 52.10
3PLAND, EQ, 18-Jul-2025, 48.44, 47.50, 48.90, 47.50, 47.59, 47.68, 47.98, 4254, 2.04, 193, 2982, 70.10
574GS2026, GS, 18-Jul-2025, 101.20, 100.35, 101.20, 100.35, 101.20, 101.17, 100.36, 302, 0.30, 3, 298, 98.68
5PAISA, EQ, 18-Jul-2025, 400.30, 398.30, 403.65, 395.00, 396.50, 395.85, 397.12, 18733, 74.39, 1010, 9945, 53.09
610GS2031, GS, 18-Jul-2025, 99.45, 99.50, 99.50, 99.49, 99.49, 99.49, 99.50, 2501, 2.49, 3, 2501, 100.00
628GS2032, GS, 18-Jul-2025, 99.20, 99.20, 99.20, 99.20, 99.20, 99.20, 99.20, 100, 0.10, 2, 100, 100.00
